seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30819,Kevin Love,MIA,2023,34,15,3,3,69,7,23,5,19,2,4,2,2,3,23,26,8,2,2,1,6,21,0,33,29,1,0,0,0.01
30989,Saddiq Bey,ATL,2023,23,3,57,32,1626,262,643,115,318,147,325,183,212,65,201,266,87,53,13,58,92,822,0,31,31,1,0,0,0.01
30811,Kessler Edwards,SAC,2023,22,2,2,0,14,0,4,0,2,0,2,0,0,1,1,2,2,0,0,0,0,0,0,36,25,1,0,0,0.01
30765,Josh Hart,NYK,2023,27,6,57,51,1862,213,412,46,131,167,281,98,134,104,345,449,219,61,12,86,146,570,0,36,27,1,1,0,0.01
30766,Josh Hart,NYK,2023,27,6,51,51,1704,183,363,34,112,149,251,87,119,95,322,417,200,54,9,79,133,487,0,36,27,1,0,0,0.01
30868,Markieff Morris,DAL,2023,33,12,27,1,285,33,82,20,49,13,33,10,10,13,46,59,25,8,5,14,33,96,0,32,31,1,0,0,0
30840,Larry Nance Jr.,NOP,2023,30,8,50,1,1113,162,263,13,38,149,225,48,71,90,205,295,95,44,34,37,106,385,0,30,32,1,0,0,0
30867,Markieff Morris,DAL,2023,33,12,29,1,299,34,85,21,52,13,33,10,10,13,46,59,26,9,5,15,38,99,0,32,31,1,0,0,0
30912,Naji Marshall,NOP,2023,25,3,57,19,1402,190,444,55,177,135,267,105,135,40,173,213,144,47,13,71,86,540,0,30,32,1,0,0,0
30869,Markieff Morris,DAL,2023,33,12,2,0,14,1,3,1,3,0,0,0,0,0,0,0,1,1,0,1,5,3,0,32,31,1,0,0,0
30910,Moussa Diabaté,LAC,2023,21,1,18,1,172,21,40,1,2,20,38,10,16,29,16,45,3,5,6,9,13,53,0,33,31,1,0,0,0
30856,Malcolm Hill,CHI,2023,27,2,5,0,9,2,4,1,3,1,1,0,0,0,3,3,0,0,0,0,1,5,0,28,34,1,0,0,0
30888,Micah Potter,UTA,2023,24,2,3,0,14,2,2,0,0,2,2,0,0,1,2,3,2,0,0,0,2,4,0,31,32,1,0,0,0
30854,Malaki Branham,SAS,2023,19,1,48,15,1077,178,400,55,176,123,224,38,48,20,87,107,94,25,7,53,82,449,0,15,47,1,0,0,0
30864,MarJon Beauchamp,MIL,2023,22,1,40,9,571,80,204,38,120,42,84,21,29,34,58,92,26,18,4,37,60,219,0,44,17,1,0,0,0
30883,Max Strus,MIA,2023,26,4,60,27,1791,257,644,152,453,105,191,70,80,44,170,214,131,37,10,58,129,736,0,33,29,1,0,0,0
30880,Matt Ryan,MIN,2023,25,2,20,0,174,25,58,19,48,6,10,6,7,2,9,11,11,3,1,4,13,75,0,32,32,1,0,0,0
30879,Matt Ryan,MIN,2023,25,2,12,0,129,15,49,13,35,2,14,4,5,2,12,14,4,2,0,3,14,47,0,32,32,1,0,0,0
30878,Matt Ryan,MIN,2023,25,2,32,0,303,40,107,32,83,8,24,10,12,4,21,25,15,5,1,7,27,122,0,32,32,1,0,0,0
30861,Mamadi Diakite,CLE,2023,26,3,16,2,98,11,26,4,15,7,11,0,0,3,9,12,2,2,6,6,13,26,0,39,25,1,0,0,0
30862,Marcus Morris,LAC,2023,33,12,56,56,1599,250,582,105,283,145,299,66,84,24,207,231,100,37,21,50,121,671,0,33,31,1,0,0,0
30913,Nassir Little,POR,2023,22,4,40,2,689,97,204,47,112,50,92,23,35,18,85,103,38,15,15,21,41,264,0,29,32,1,0,0,0
31041,Torrey Craig,PHO,2023,32,6,59,49,1524,176,389,77,190,99,199,27,37,123,220,343,94,40,38,60,140,456,0,33,29,1,0,0,0
31032,Thanasis Antetokounmpo,MIL,2023,30,5,27,0,108,5,20,0,4,5,16,4,8,9,17,26,4,2,3,7,12,14,0,44,17,1,0,0,0
31031,Thaddeus Young,TOR,2023,34,16,50,9,776,107,191,6,34,101,157,18,26,69,92,161,73,54,5,40,86,238,0,31,32,1,0,0,0
31030,Terry Taylor,CHI,2023,23,2,1,0,4,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,1,4,0,28,34,1,0,0,0
31029,Terry Taylor,CHI,2023,23,2,26,2,228,30,65,4,18,26,47,5,7,22,17,39,10,3,5,9,24,69,0,28,34,1,0,0,0
31028,Terry Taylor,CHI,2023,23,2,27,2,232,32,67,4,18,28,49,5,7,22,17,39,10,3,5,9,25,73,0,28,34,1,0,0,0
31021,Taurean Prince,MIN,2023,28,7,38,2,810,121,247,51,129,70,118,31,38,12,79,91,60,20,14,45,91,324,0,32,32,1,0,0,0
31020,Tari Eason,HOU,2023,21,1,61,3,1207,209,467,41,120,168,347,81,107,141,207,348,61,68,33,68,134,540,0,13,48,1,0,0,0
31017,T.J. Warren,PHO,2023,29,8,2,0,15,3,5,1,1,2,4,0,0,1,4,5,0,1,0,0,1,7,0,33,29,1,0,0,0
31016,T.J. Warren,PHO,2023,29,8,26,0,490,102,200,16,48,86,152,27,33,13,59,72,29,15,7,17,45,247,0,33,29,1,0,0,0
31015,T.J. Warren,PHO,2023,29,8,28,0,505,105,205,17,49,88,156,27,33,14,63,77,29,16,7,17,46,254,0,33,29,1,0,0,0
31013,Svi Mykhailiuk,CHO,2023,25,5,2,0,31,5,13,2,6,3,7,0,1,1,1,2,1,0,0,2,2,12,0,20,43,1,0,0,0
31012,Svi Mykhailiuk,CHO,2023,25,5,13,0,40,6,12,6,10,0,2,3,5,0,7,7,1,1,0,2,1,21,0,20,43,1,0,0,0
31045,Trendon Watford,POR,2023,22,2,45,2,746,94,165,16,34,78,131,50,70,29,124,153,82,17,6,45,84,254,0,29,32,1,0,0,0
31083,Ziaire Williams,MEM,2023,21,2,30,3,491,67,160,20,82,47,78,13,17,12,58,70,24,12,5,30,52,167,0,37,23,1,0,0,0
31082,Zeke Nnaji,DEN,2023,22,3,44,5,584,87,152,13,45,74,107,36,54,56,46,102,11,15,19,20,81,223,0,44,19,1,0,0,0
31079,Yuta Watanabe,BRK,2023,28,5,44,0,781,101,194,53,110,48,84,29,39,26,84,110,38,19,15,17,65,284,0,34,27,1,0,0,0
31078,Xavier Tillman Sr.,MEM,2023,24,3,41,10,650,99,164,3,11,96,153,31,60,78,97,175,49,33,17,23,55,232,0,37,23,1,0,0,0
31072,Wenyen Gabriel,LAL,2023,25,4,48,2,725,124,199,9,30,115,169,38,61,78,109,187,22,17,26,33,104,295,0,29,33,1,0,0,0
31068,Vlatko Čančar,DEN,2023,25,4,48,8,794,102,205,42,102,60,103,30,32,22,92,114,73,18,12,32,75,276,0,44,19,1,0,0,0
31063,Usman Garuba,HOU,2023,20,2,54,1,728,67,128,17,34,50,94,19,36,88,154,242,51,37,25,36,95,170,0,13,48,1,0,0,0
31052,Troy Brown Jr.,LAL,2023,23,5,56,32,1344,145,340,69,195,76,145,26,27,52,184,236,59,41,8,39,85,385,0,29,33,1,0,0,0
31051,Trey Murphy III,NOP,2023,22,2,59,46,1715,258,543,126,324,132,219,109,120,46,166,212,76,58,29,48,119,751,0,30,32,1,0,0,0
31050,Trey Lyles,SAC,2023,27,8,55,0,889,139,293,61,167,78,126,71,89,52,150,202,47,20,25,45,67,410,0,36,25,1,0,0,0
31011,Svi Mykhailiuk,CHO,2023,25,5,15,0,71,11,25,8,16,3,9,3,6,1,8,9,2,1,0,4,3,33,0,20,43,1,0,0,0
30914,Nathan Knight,MIN,2023,25,3,34,0,276,43,75,8,21,35,54,36,53,21,31,52,13,9,6,19,36,130,0,32,32,1,0,0,0
30946,Patrick Williams,CHI,2023,21,3,62,58,1786,236,511,87,212,149,299,69,80,62,207,269,84,53,48,80,119,628,0,28,34,1,0,0,0
