Player,Year,Team,Role,MVP,Team
Chris Paul,2016,West,Reserve,N,LAC
Klay Thompson,2016,West,Reserve,N,GSW
Carmelo Anthony,2015,East,Starter,N,NYK
Pau Gasol,2015,East,Starter,N,CHI
LeBron James,2015,East,Starter,N,CLE
Kyle Lowry,2015,East,Starter,N,TOR
John Wall,2015,East,Starter,N,WAS
Chris Bosh,2015,East,Reserve,N,MIA
Jimmy Butler,2015,East,Reserve,N,CHI
Al Horford,2015,East,Reserve,N,ATL
Kyrie Irving,2015,East,Reserve,N,CLE
Kyle Korver,2015,East,Reserve,N,ATL
Paul Millsap,2015,East,Reserve,N,ATL
Jeff Teague,2015,East,Reserve,N,ATL
Dwyane Wade,2015,East,DNP,N,MIA
LaMarcus Aldridge,2015,West,Starter,N,POR
Stephen Curry,2015,West,Starter,N,GSW
Marc Gasol,2015,West,Starter,N,MEM
James Harden,2015,West,Starter,N,HOU
Klay Thompson,2015,West,Starter,N,GSW
DeMarcus Cousins,2015,West,Reserve,N,SAC
Tim Duncan,2015,West,Reserve,N,SAS
Kevin Durant,2015,West,Reserve,N,OKC
Damian Lillard,2015,West,Reserve,N,POR
Dirk Nowitzki,2015,West,Reserve,N,DAL
Chris Paul,2015,West,Reserve,N,LAC
Russell Westbrook,2015,West,Reserve,Y,OKC
Kobe Bryant,2015,West,DNP,N,LAL
Anthony Davis,2015,West,DNP,N,NOP
Blake Griffin,2015,West,DNP,N,LAC
Carmelo Anthony,2014,East,Starter,N,NYK
Paul George,2014,East,Starter,N,IND
Kyrie Irving,2014,East,Starter,Y,CLE
LeBron James,2014,East,Starter,N,MIA
Dwyane Wade,2014,East,Starter,N,MIA
Chris Bosh,2014,East,Reserve,N,MIA
DeMar DeRozan,2014,East,Reserve,N,TOR
Roy Hibbert,2014,East,Reserve,N,IND
Joe Johnson,2014,East,Reserve,N,BRK
Paul Millsap,2014,East,Reserve,N,ATL
Joakim Noah,2014,East,Reserve,N,CHI
John Wall,2014,East,Reserve,N,WAS
Stephen Curry,2014,West,Starter,N,GSW
Kevin Durant,2014,West,Starter,N,OKC
Blake Griffin,2014,West,Starter,N,LAC
James Harden,2014,West,Starter,N,HOU
Kevin Love,2014,West,Starter,N,MIN
LaMarcus Aldridge,2014,West,Reserve,N,POR
Anthony Davis,2014,West,Reserve,N,NOP
Dwight Howard,2014,West,Reserve,N,HOU
Damian Lillard,2014,West,Reserve,N,POR
Dirk Nowitzki,2014,West,Reserve,N,DAL
Tony Parker,2014,West,Reserve,N,SAS
Chris Paul,2014,West,Reserve,N,LAC
Kobe Bryant,2014,West,DNP,N,LAL
Carmelo Anthony,2013,East,Starter,N,NYK
Chris Bosh,2013,East,Starter,N,MIA
Kevin Garnett,2013,East,Starter,N,BOS
LeBron James,2013,East,Starter,N,MIA
Dwyane Wade,2013,East,Starter,N,MIA
Tyson Chandler,2013,East,Reserve,N,NYK
Luol Deng,2013,East,Reserve,N,CHI
Paul George,2013,East,Reserve,N,IND
Jrue Holiday,2013,East,Reserve,N,PHI
Kyrie Irving,2013,East,Reserve,N,CLE
Brook Lopez,2013,East,Reserve,N,BRK
Joakim Noah,2013,East,Reserve,N,CHI
Rajon Rondo,2013,East,DNP,N,BOS
Kobe Bryant,2013,West,Starter,N,LAL
Kevin Durant,2013,West,Starter,N,OKC
Blake Griffin,2013,West,Starter,N,LAC
Dwight Howard,2013,West,Starter,N,LAL
Chris Paul,2013,West,Starter,Y,LAC
LaMarcus Aldridge,2013,West,Reserve,N,POR
Tim Duncan,2013,West,Reserve,N,SAS
James Harden,2013,West,Reserve,N,HOU
David Lee,2013,West,Reserve,N,GSW
Tony Parker,2013,West,Reserve,N,SAS
Zach Randolph,2013,West,Reserve,N,MEM
Russell Westbrook,2013,West,Reserve,N,OKC
Carmelo Anthony,2012,East,Starter,N,NYK
Dwight Howard,2012,East,Starter,N,ORL
LeBron James,2012,East,Starter,N,MIA
Derrick Rose,2012,East,Starter,N,CHI
Dwyane Wade,2012,East,Starter,N,MIA
Chris Bosh,2012,East,Reserve,N,MIA
Luol Deng,2012,East,Reserve,N,CHI
Roy Hibbert,2012,East,Reserve,N,IND
Andre Iguodala,2012,East,Reserve,N,PHI
Paul Pierce,2012,East,Reserve,N,BOS
Rajon Rondo,2012,East,Reserve,N,BOS
Deron Williams,2012,East,Reserve,N,NJN
Kobe Bryant,2012,West,Starter,N,LAL
Andrew Bynum,2012,West,Starter,N,LAL
Kevin Durant,2012,West,Starter,Y,OKC
Blake Griffin,2012,West,Starter,N,LAC
Chris Paul,2012,West,Starter,N,LAC
LaMarcus Aldridge,2012,West,Reserve,N,POR
Marc Gasol,2012,West,Reserve,N,MEM
Kevin Love,2012,West,Reserve,N,MIN
Steve Nash,2012,West,Reserve,N,PHO
Dirk Nowitzki,2012,West,Reserve,N,DAL
Tony Parker,2012,West,Reserve,N,SAS
Russell Westbrook,2012,West,Reserve,N,OKC
Joe Johnson,2012,West,DNP,N,ATL
Dwight Howard,2011,East,Starter,N,ORL
LeBron James,2011,East,Starter,N,MIA
Derrick Rose,2011,East,Starter,N,CHI
Amar'e Stoudemire,2011,East,Starter,N,NYK
Dwyane Wade,2011,East,Starter,N,MIA
Ray Allen,2011,East,Reserve,N,BOS
Chris Bosh,2011,East,Reserve,N,MIA
Kevin Garnett,2011,East,Reserve,N,BOS
Al Horford,2011,East,Reserve,N,ATL
Joe Johnson,2011,East,Reserve,N,ATL
Paul Pierce,2011,East,Reserve,N,BOS
Rajon Rondo,2011,East,Reserve,N,BOS
Carmelo Anthony,2011,West,Starter,N,DEN
Kobe Bryant,2011,West,Starter,Y,LAL
Tim Duncan,2011,West,Starter,N,SAS
Kevin Durant,2011,West,Starter,N,OKC
Chris Paul,2011,West,Starter,N,NOH
Pau Gasol,2011,West,Reserve,N,LAL
Manu Ginobili,2011,West,Reserve,N,SAS
Blake Griffin,2011,West,Reserve,N,LAC
Kevin Love,2011,West,Reserve,N,MIN
Dirk Nowitzki,2011,West,Reserve,N,DAL
Russell Westbrook,2011,West,Reserve,N,OKC
Deron Williams,2011,West,Reserve,N,UTA
Yao Ming,2011,West,DNP,N,HOU
Kevin Garnett,2010,East,Starter,N,BOS
Dwight Howard,2010,East,Starter,N,ORL
LeBron James,2010,East,Starter,N,CLE
Joe Johnson,2010,East,Starter,N,ATL
Dwyane Wade,2010,East,Starter,Y,MIA
Chris Bosh,2010,East,Reserve,N,TOR
Al Horford,2010,East,Reserve,N,ATL
David Lee,2010,East,Reserve,N,NYK
Paul Pierce,2010,East,Reserve,N,BOS
Rajon Rondo,2010,East,Reserve,N,BOS
Derrick Rose,2010,East,Reserve,N,CHI
Gerald Wallace,2010,East,Reserve,N,CHA
Carmelo Anthony,2010,West,Starter,N,DEN
Tim Duncan,2010,West,Starter,N,SAS
Steve Nash,2010,West,Starter,N,PHO
Dirk Nowitzki,2010,West,Starter,N,DAL
Amar'e Stoudemire,2010,West,Starter,N,PHO
Chauncey Billups,2010,West,Reserve,N,DEN
Kevin Durant,2010,West,Reserve,N,OKC
Pau Gasol,2010,West,Reserve,N,LAL
Chris Kaman,2010,West,Reserve,N,LAC
Jason Kidd,2010,West,Reserve,N,DAL
Zach Randolph,2010,West,Reserve,N,MEM
Deron Williams,2010,West,Reserve,N,UTA
Kobe Bryant,2010,West,DNP,N,LAL
Allen Iverson,2010,West,DNP,N,PHI
Chris Paul,2010,West,DNP,N,NOH
Brandon Roy,2010,West,DNP,N,POR
Kevin Garnett,2009,East,Starter,N,BOS
Dwight Howard,2009,East,Starter,N,ORL
Allen Iverson,2009,East,Starter,N,DET
LeBron James,2009,East,Starter,N,CLE
Dwyane Wade,2009,East,Starter,N,MIA
Ray Allen,2009,East,Reserve,N,BOS
Danny Granger,2009,East,Reserve,N,IND
Devin Harris,2009,East,Reserve,N,NJN
Joe Johnson,2009,East,Reserve,N,ATL
Rashard Lewis,2009,East,Reserve,N,ORL
Paul Pierce,2009,East,Reserve,N,BOS
Mo Williams,2009,East,Reserve,N,CLE
Kobe Bryant,2009,West,Starter,Y,LAL
Tim Duncan,2009,West,Starter,N,SAS
Yao Ming,2009,West,Starter,N,HOU
Chris Paul,2009,West,Starter,N,NOH
Amar'e Stoudemire,2009,West,Starter,N,PHO
Chauncey Billups,2009,West,Reserve,N,DEN
Pau Gasol,2009,West,Reserve,N,LAL
Dirk Nowitzki,2009,West,Reserve,N,DAL
Shaquille O'Neal,2009,West,Reserve,Y,PHO
Tony Parker,2009,West,Reserve,N,SAS
Brandon Roy,2009,West,Reserve,N,POR
David West,2009,West,Reserve,N,NOH
Chris Bosh,2009,West,DNP,N,TOR
Jameer Nelson,2009,West,DNP,N,ORL
Chris Bosh,2008,East,Starter,N,TOR
Dwight Howard,2008,East,Starter,N,ORL
LeBron James,2008,East,Starter,Y,CLE
Jason Kidd,2008,East,Starter,N,NJN
Dwyane Wade,2008,East,Starter,N,MIA
Ray Allen,2008,East,Reserve,N,BOS
Chauncey Billups,2008,East,Reserve,N,DET
Richard Hamilton,2008,East,Reserve,N,DET
Antawn Jamison,2008,East,Reserve,N,WAS
Joe Johnson,2008,East,Reserve,N,ATL
Paul Pierce,2008,East,Reserve,N,BOS
Rasheed Wallace,2008,East,Reserve,N,DET
Carmelo Anthony,2008,West,Starter,N,DEN
Kobe Bryant,2008,West,Starter,N,LAL
Tim Duncan,2008,West,Starter,N,SAS
Allen Iverson,2008,West,Starter,N,DEN
Yao Ming,2008,West,Starter,N,HOU
Carlos Boozer,2008,West,Reserve,N,UTA
Steve Nash,2008,West,Reserve,N,PHO
Dirk Nowitzki,2008,West,Reserve,N,DAL
Chris Paul,2008,West,Reserve,N,NOH
Brandon Roy,2008,West,Reserve,N,POR
Amar'e Stoudemire,2008,West,Reserve,N,PHO
