seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30894,Mike Conley,MIN,2023,35,16,49,48,1461,171,424,88,243,83,181,82,101,21,102,123,365,53,11,82,103,512,0,32,32,0,1,0,0.02
30696,Jalen Green,HOU,2023,20,2,55,55,1852,400,975,140,419,260,556,253,321,30,188,218,200,42,13,154,90,1193,0,13,48,0,1,0,0.02
30661,Grayson Allen,MIL,2023,27,5,57,55,1573,194,440,113,281,81,159,96,107,49,141,190,136,47,10,63,93,597,0,44,17,0,1,0,0.02
30895,Mike Conley,MIN,2023,35,16,43,42,1276,153,375,77,213,76,162,78,96,17,90,107,330,44,10,74,94,461,0,32,32,0,1,0,0.02
30667,Immanuel Quickley,NYK,2023,23,3,62,10,1723,280,633,110,307,170,326,129,157,42,209,251,192,52,10,68,127,799,0,36,27,0,1,0,0.02
30585,De'Anthony Melton,PHI,2023,24,5,57,48,1606,211,498,121,304,90,194,47,60,53,179,232,151,94,31,78,142,590,0,39,21,0,1,0,0.02
30832,Kyle Lowry,MIA,2023,36,17,44,44,1464,169,427,90,270,79,157,100,117,38,152,190,232,49,17,87,121,528,0,33,29,0,1,0,0.02
31038,Tim Hardaway Jr.,DAL,2023,30,10,57,37,1720,265,692,164,450,101,242,103,135,19,188,207,97,41,8,48,91,797,0,32,31,0,1,0,0.01
30952,PJ Dozier,SAC,2023,26,6,5,0,11,2,4,1,3,1,1,0,0,0,2,2,0,3,0,0,0,5,0,36,25,0,1,0,0.01
30896,Mike Conley,MIN,2023,35,16,6,6,185,18,49,11,30,7,19,4,5,4,12,16,35,9,1,8,9,51,0,32,32,0,1,0,0.01
30961,Reggie Jackson,DEN,2023,32,12,56,38,1419,225,546,83,239,142,307,64,70,23,99,122,200,42,6,99,99,597,0,44,19,0,1,0,0.01
30951,Peyton Watson,DEN,2023,20,1,14,0,44,10,19,2,4,8,15,0,2,3,5,8,1,0,1,2,2,22,0,44,19,0,1,0,0.01
30962,Reggie Jackson,DEN,2023,32,12,52,38,1338,214,512,77,220,137,292,61,66,22,94,116,183,38,5,96,92,566,0,44,19,0,1,0,0.01
30846,Luguentz Dort,OKC,2023,23,4,54,53,1619,258,640,101,289,157,351,140,184,82,153,235,120,54,15,72,172,757,0,28,33,0,1,0,0.01
30965,Ricky Rubio,CLE,2023,32,12,16,0,267,27,88,13,49,14,39,15,20,4,33,37,56,18,2,13,25,82,0,39,25,0,1,0,0.01
30565,Danny Green,CLE,2023,35,14,6,0,71,6,19,6,15,0,4,1,1,1,4,5,2,2,1,5,9,19,0,39,25,0,1,0,0.01
30835,Kyrie Irving,DAL,2023,30,12,7,7,258,63,128,20,53,43,75,27,28,11,25,36,48,7,4,14,23,173,0,32,31,0,1,0,0.01
30729,JD Davison,BOS,2023,20,1,6,0,14,2,8,0,3,2,5,0,0,0,2,2,1,1,0,1,0,4,0,44,18,0,1,0,0.01
30746,John Wall,LAC,2023,32,11,34,3,755,138,338,33,109,105,229,77,113,14,78,92,178,27,12,80,59,386,0,33,31,0,1,0,0.01
30474,Alondes Williams,BRK,2023,23,1,1,0,5,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1,0,0,34,27,0,1,0,0.01
30687,Jaden Springer,PHI,2023,20,2,7,0,26,7,12,0,0,7,12,3,4,4,3,7,1,2,2,1,7,17,0,39,21,0,1,0,0.01
30905,Monte Morris,WAS,2023,27,6,51,51,1433,203,420,69,170,134,250,54,67,20,153,173,269,37,8,50,71,529,0,29,32,0,1,0,0.01
30497,Bogdan Bogdanović,ATL,2023,30,6,37,5,1085,198,451,104,259,94,192,43,54,14,110,124,110,32,12,47,61,543,0,31,31,0,1,0,0.01
31026,Terrence Ross,PHO,2023,31,11,3,0,65,13,29,5,17,8,12,1,2,1,11,12,6,1,0,0,8,32,0,33,29,0,1,0,0.01
30941,Pat Connaughton,MIL,2023,30,8,43,26,1078,126,324,86,248,40,76,17,28,35,179,214,56,30,6,25,48,355,0,44,17,0,1,0,0.01
