seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30679,Ivica Zubac,LAC,2023,25,7,60,60,1762,242,391,0,2,242,389,130,185,199,408,607,63,24,79,103,177,614,0,33,31,0,0,1,0.05
30838,LaMelo Ball,CHO,2023,21,3,36,36,1268,296,721,144,383,152,338,102,122,42,189,231,304,46,11,129,118,838,0,20,43,0,1,0,0.05
30824,Khris Middleton,MIL,2023,31,11,20,7,430,98,231,29,97,69,134,47,52,14,69,83,84,14,3,43,42,272,0,44,17,1,0,0,0.04
31037,Thomas Bryant,DEN,2023,25,6,7,0,94,12,27,0,1,12,26,10,15,10,22,32,0,1,5,6,12,34,0,44,19,0,0,1,0.04
30901,Mitchell Robinson,NYK,2023,24,5,41,40,1110,133,191,0,0,133,191,40,83,174,202,376,37,37,72,21,120,306,0,36,27,0,0,1,0.04
31070,Wendell Carter Jr.,ORL,2023,23,5,42,39,1248,232,449,51,150,181,299,116,157,91,276,367,106,17,24,93,125,631,0,26,36,0,0,1,0.04
30648,Gary Trent Jr.,TOR,2023,24,5,54,43,1810,348,801,145,394,203,407,154,183,23,117,140,88,89,14,52,90,995,0,31,32,0,1,0,0.04
30638,Franz Wagner,ORL,2023,21,2,61,61,2025,418,861,103,279,315,582,210,252,55,189,244,211,57,12,127,143,1149,0,26,36,1,0,0,0.04
31069,Walker Kessler,UTA,2023,21,1,60,26,1308,214,302,1,1,213,301,65,122,178,304,482,49,24,131,46,137,494,0,31,32,0,0,1,0.04
30509,Bruce Brown,DEN,2023,26,5,62,28,1773,272,559,82,214,190,345,65,90,42,199,241,218,65,38,98,144,691,0,44,19,0,1,0,0.03
30506,Brandon Ingram,NOP,2023,25,7,27,27,882,221,482,45,111,176,371,131,149,12,124,136,128,18,12,88,71,618,0,30,32,1,0,0,0.03
30928,Norman Powell,LAC,2023,29,8,53,7,1371,298,621,109,259,189,362,192,239,20,136,156,94,42,17,88,106,897,0,33,31,0,1,0,0.03
30475,Alperen Şengün,HOU,2023,20,2,56,53,1576,327,594,13,41,314,553,164,220,178,307,485,215,45,53,139,190,831,0,13,48,0,0,1,0.03
30822,Kevon Looney,GSW,2023,26,8,62,55,1455,183,275,0,0,183,275,68,112,195,367,562,156,33,36,30,176,434,0,32,30,0,0,1,0.03
30997,Serge Ibaka,MIL,2023,33,14,16,0,185,26,54,6,18,20,36,8,13,15,29,44,4,2,7,11,23,66,0,44,17,0,0,1,0.03
31060,Tyus Jones,MEM,2023,26,8,60,9,1368,220,508,87,231,133,277,58,72,22,110,132,273,61,4,54,25,585,0,37,23,0,1,0,0.03
30813,Kevin Huerter,SAC,2023,24,5,58,58,1749,314,656,150,388,164,268,74,105,34,162,196,172,64,18,85,144,852,0,36,25,0,1,0,0.03
30805,Kentavious Caldwell-Pope,DEN,2023,29,10,60,60,1886,245,509,116,257,129,252,82,98,29,144,173,143,86,27,73,122,688,0,44,19,0,1,0,0.03
30860,Malik Monk,SAC,2023,24,6,58,0,1316,282,619,102,297,180,322,139,154,29,122,151,221,36,13,117,95,805,0,36,25,0,1,0,0.03
30516,Buddy Hield,IND,2023,30,7,63,63,2017,382,844,238,559,144,285,87,102,53,256,309,171,73,19,115,127,1089,0,28,35,1,0,0,0.03
30963,Reggie Jackson,DEN,2023,32,12,4,0,81,11,34,6,19,5,15,3,4,1,5,6,17,4,1,3,7,31,0,44,19,0,1,0,0.02
30693,Jakob Poeltl,TOR,2023,27,7,7,6,190,43,58,0,0,43,58,13,27,22,40,62,16,13,14,6,22,99,0,31,32,0,0,1,0.02
30688,Jae Crowder,MIL,2023,32,11,3,0,56,6,10,4,6,2,4,2,4,1,7,8,4,3,0,2,6,18,0,44,17,1,0,0,0.02
30546,Cody Zeller,MIA,2023,30,10,3,0,47,8,12,0,0,8,12,3,6,5,3,8,3,1,3,2,9,19,0,33,29,0,0,1,0.02
30795,Kelly Olynyk,UTA,2023,31,10,51,51,1439,201,410,73,182,128,228,136,164,64,216,280,164,49,29,114,189,611,0,31,32,0,0,1,0.02
30894,Mike Conley,MIN,2023,35,16,49,48,1461,171,424,88,243,83,181,82,101,21,102,123,365,53,11,82,103,512,0,32,32,0,1,0,0.02
30794,Keldon Johnson,SAS,2023,23,4,55,55,1799,432,961,114,356,318,605,223,290,46,219,265,153,38,10,116,107,1201,0,15,47,1,0,0,0.02
30480,Andrew Wiggins,GSW,2023,27,9,37,37,1190,250,529,89,225,161,304,44,72,61,125,186,85,45,28,48,107,633,0,32,30,1,0,0,0.02
30696,Jalen Green,HOU,2023,20,2,55,55,1852,400,975,140,419,260,556,253,321,30,188,218,200,42,13,154,90,1193,0,13,48,0,1,0,0.02
30617,Draymond Green,GSW,2023,32,11,54,54,1703,175,336,33,99,142,237,59,84,46,354,400,371,53,44,139,165,442,0,32,30,1,0,0,0.02
30661,Grayson Allen,MIL,2023,27,5,57,55,1573,194,440,113,281,81,159,96,107,49,141,190,136,47,10,63,93,597,0,44,17,0,1,0,0.02
30895,Mike Conley,MIN,2023,35,16,43,42,1276,153,375,77,213,76,162,78,96,17,90,107,330,44,10,74,94,461,0,32,32,0,1,0,0.02
30667,Immanuel Quickley,NYK,2023,23,3,62,10,1723,280,633,110,307,170,326,129,157,42,209,251,192,52,10,68,127,799,0,36,27,0,1,0,0.02
