seas_id,player,tm,season,age,experience,g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,playoffs,w,l,forward,guard,center,All-NBA Probability
30915,Naz Reid,MIN,2023,23,4,56,11,1011,238,448,57,174,181,274,64,97,66,209,275,61,35,49,75,141,597,0,32,32,0,0,1,0.01
30932,Onyeka Okongwu,ATL,2023,22,3,60,17,1431,232,368,1,5,231,363,92,123,159,282,441,62,41,77,58,197,557,0,31,31,0,0,1,0.01
30904,Mo Bamba,LAL,2023,24,5,4,0,45,4,13,2,9,2,4,4,8,2,20,22,2,0,3,3,11,14,0,29,33,0,0,1,0.01
30927,Noah Vonleh,BOS,2023,27,8,23,1,171,11,24,1,4,10,20,2,2,18,30,48,7,2,8,11,35,25,0,44,18,0,0,1,0.01
30906,Montrezl Harrell,PHI,2023,29,8,50,7,624,112,185,0,2,112,183,59,85,60,78,138,31,16,25,31,74,283,0,39,21,0,0,1,0.01
30898,Mike Muscala,BOS,2023,31,10,43,5,622,89,203,56,142,33,61,31,39,23,112,135,38,11,19,14,70,265,0,44,18,0,0,1,0.01
30472,Alex Len,SAC,2023,29,10,14,1,48,5,10,0,1,5,9,3,4,4,11,15,5,0,0,6,10,13,0,36,25,0,0,1,0.01
30897,Mike Muscala,BOS,2023,31,10,47,6,710,105,236,66,167,39,69,32,41,24,126,150,40,12,21,16,78,308,0,44,18,0,0,1,0.01
30564,Daniel Theis,IND,2023,30,6,7,1,109,21,44,2,11,19,33,5,12,7,15,22,9,2,6,3,7,49,0,28,35,0,0,1,0.01
30560,Damian Jones,UTA,2023,27,7,2,0,21,3,4,0,0,3,4,1,2,2,5,7,1,0,2,1,4,7,0,31,32,0,0,1,0.01
30993,Sandro Mamukelashvili,MIL,2023,23,2,24,0,217,19,58,7,32,12,26,12,18,18,38,56,16,4,5,9,19,57,0,44,17,0,0,1,0.01
30563,Daniel Gafford,WAS,2023,24,4,59,28,1127,203,271,0,0,203,271,94,146,118,203,321,55,23,78,60,136,500,0,29,32,0,0,1,0.01
30874,Mason Plumlee,LAC,2023,32,10,5,2,102,11,12,0,0,11,12,14,17,8,32,40,11,3,3,8,15,36,0,33,31,0,0,1,0.01
31062,Udonis Haslem,MIA,2023,42,20,6,1,46,1,12,0,2,1,10,1,2,4,4,8,0,1,1,0,8,3,0,33,29,0,0,1,0.01
30908,Moses Brown,LAC,2023,23,4,34,1,288,61,96,0,0,61,96,33,72,57,82,139,4,3,14,14,38,155,0,33,31,0,0,1,0
30865,Mark Williams,CHO,2023,21,1,32,7,536,107,165,0,0,107,165,47,65,62,137,199,12,22,37,25,71,261,0,20,43,0,0,1,0
30871,Marvin Bagley III,DET,2023,23,5,27,13,584,127,236,9,37,118,199,44,63,67,111,178,15,13,19,25,55,307,0,15,47,0,0,1,0
30870,Marko Simonovic,CHI,2023,23,2,3,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,34,0,0,1,0
30884,Maxi Kleber,DAL,2023,31,6,23,0,588,55,110,25,67,30,43,11,16,19,59,78,23,7,23,13,50,146,0,32,31,0,0,1,0
